Epoch:	lr	t_loss:	t_oa	t_miou	v_loss	v_oa	v_miou
0	0.01	0.4481712778409322	1.0846138000488281	0.3953111349358188	0.532705823580424	0.053676605224609375	0.011449646973818693
1	0.01	0.3607584536075592	4.559276580810547	1.3192264812060903	0.5211853384971619	1.4599494934082031	0.3268732850609558
2	0.01	0.3126809149980545	5.314495086669922	1.5604857320619068	0.494373083114624	1.8923225402832031	0.41569548730351946
3	0.01	0.2817787875731786	5.441658020019531	1.6091370256580415	0.4479968150456746	1.9247169494628906	0.4043887231369339
4	0.01	0.2647627865274747	5.432636260986328	1.4730805993973473	0.3916170795758565	1.9367523193359375	0.4453382858489159
5	0.01	0.23081915328900018	5.497032165527344	1.5559411253933315	0.34847768147786456	1.8876533508300781	0.3846121218034033
6	0.01	0.212964894870917	5.48797607421875	1.4548726364625126	0.29278268416722614	1.9241981506347656	0.40466878362607367
7	0.01	0.1930738960703214	5.488323211669922	1.592301856259363	0.2583248515923818	1.8997383117675781	0.40953727579959365
8	0.01	0.17221834510564804	5.507106781005859	1.6039938897795234	0.2144633928934733	1.934417724609375	0.4137826792047924
9	0.01	0.15528195351362228	5.527107238769531	1.6007128848371561	0.18651902675628662	1.9301528930664062	0.45749823346822616
10	0.01	0.139678493142128	5.538154602050781	1.651659131334372	0.16029285887877145	1.9251251220703125	0.4136046145390949
11	0.01	0.12547667448719343	5.547920227050781	1.6597468416967915	0.18235260248184204	1.8595161437988281	0.41112214334479674
12	0.01	0.11859381943941116	5.532543182373047	1.750268544267385	0.1607220470905304	1.8687858581542969	0.4556452522317488
13	0.01	0.10610029846429825	5.556690216064453	1.7717100241276067	0.12020135919253032	1.8963050842285156	0.4780074519395616
14	0.01	0.09858463207880656	5.5687255859375	1.8569023782062886	0.1220875233411789	1.8922309875488281	0.4319689161168889
15	0.01	0.10303390522797902	5.545680999755859	1.93399222466059	0.1288947512706121	1.8558197021484375	0.40719867223765416
16	0.01	0.08964208886027336	5.560646057128906	1.9342244153926476	0.13222678999106088	1.8651275634765625	0.44783072143487523
17	0.01	0.09317621712883313	5.5488739013671875	1.8634266942409523	0.12572587529818216	1.8469734191894531	0.43174193148237433
18	0.01	0.08459421247243881	5.580009460449219	1.9566022335139575	0.1092336376508077	1.8768501281738281	0.40984303823172347
19	0.01	0.07827634053925674	5.587749481201172	1.857988243411552	0.09601791203022003	1.8981552124023438	0.5084315101776048
20	0.01	0.06920651905238628	5.6375732421875	2.149380853894342	0.07581837226947148	1.9249267578125	0.6479343911705435
21	0.01	0.06652664269010226	5.642879486083984	2.200511267527328	0.12159670889377594	1.8451919555664062	0.4452852126338113
22	0.01	0.065335879723231	5.615329742431641	2.0117888666052317	0.0851371039946874	1.90753173828125	0.5133501954771272
23	0.01	0.06085740402340889	5.663112640380859	2.322374229278976	0.06782795488834381	1.9255256652832031	0.5032772836285127
24	0.01	0.06020586006343365	5.649745941162109	2.3241061346317116	0.060973942279815674	1.9313850402832031	0.5086172610526185
25	0.01	0.0568122627834479	5.650669097900391	2.260787279437819	0.06939176221688588	1.9166831970214844	0.5699457467508633
26	0.01	0.05848593823611736	5.644500732421875	2.327223453758843	0.07167895510792732	1.8970985412597656	0.5308147784808236
27	0.01	0.05777632941802343	5.643634796142578	2.0562421642457847	0.06760757913192113	1.912750244140625	0.4725095670444287
28	0.01	0.05447964929044247	5.658779144287109	2.1706970538669568	0.059170592576265335	1.92706298828125	0.4992762457212783
29	0.01	0.049552783370018005	5.699237823486328	2.4264064467417357	0.0651242770254612	1.8971748352050781	0.4945093487775265
30	0.01	0.052639697988828026	5.650459289550781	2.3174240487942392	0.05336766938368479	1.9231224060058594	0.6463921121692422
31	0.01	0.056988814224799476	5.594661712646484	1.852196562404723	0.049214658637841545	1.9383621215820312	0.7392775394010158
32	0.01	0.049172929798563324	5.684833526611328	2.316208926614953	0.07953787843386333	1.8746566772460938	0.48358268829876394
33	0.01	0.048892395570874214	5.671875	2.32720473208136	0.05237517257531484	1.9263038635253906	0.47155885617797505
34	0.01	0.04597161523997784	5.692222595214844	2.3933232154569164	0.05553621053695679	1.914825439453125	0.4305289165269727
35	0.01	0.04306597759326299	5.702854156494141	2.4089441293152034	0.05051870768268903	1.9230155944824219	0.44712457084659085
36	0.01	0.047033110012610756	5.688804626464844	2.373525353205619	0.04543730368216833	1.9341316223144531	0.5340588421501093
37	0.01	0.04321912179390589	5.703956604003906	2.4937281916629432	0.06229007989168167	1.8955802917480469	0.5000467152989923
38	0.01	0.042324463526407875	5.720294952392578	2.6594192288674634	0.08995067824920018	1.8202400207519531	0.5029163800680378
39	0.01	0.04328332034250101	5.693145751953125	2.435218586158135	0.04875453313191732	1.9194488525390625	0.5564499428298938
40	0.01	0.04173979597787062	5.718101501464844	2.472663955618066	0.044410080959399544	1.9304885864257812	0.5027099279146471
41	0.01	0.04165997635573149	5.706573486328125	2.500485463081378	0.06211233759919802	1.8938636779785156	0.46952837723596486
42	0.01	0.040230877697467804	5.711463928222656	2.7122957009258584	0.07262229671080907	1.848388671875	0.4679173484017274
43	0.01	0.04537268355488777	5.678470611572266	2.4476735624629455	0.06602374836802483	1.8913688659667969	0.47890334613067964
